Judul,Link,Link_PDF,Status,Keterangan_Status,Tipe Dokumen,Tahun Terbit,Nomor Peraturan,Bidang Hukum,Tempat Penetapan,Tanggal Penetapan / Pengundangan,Singkatan Jenis / Bentuk Peraturan,Sumber,Bahasa,Nama Pengarang,Tipe Pengarang,Jenis Pengarang,Kata Kunci,Tipe Kata Kunci,Jenis Kata Kunci,Isi UU
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 293.K/HK.02/MEM.S/2022 tentang Pedoman Pelaksanaan Sistem Keanggotaan dan Nonanggota Dalam Pelayanan Pemanfaatan Data Hulu Minyak dan Gas Bumi,https://jdih.esdm.go.id/index.php/web/result/2350/detail,https://jdih.esdm.go.id/storage/document/1.pdf,Mencabut;,Mencabut Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 33.K/30/MEM/2020 tentang Sistem Keanggotaan Dalam Pelayanan Pemanfaatan Data Hulu Minyak dan Gas Bumi,Peraturan Perundang-undangan,2022,293.K/HK.02/MEM.S/2022,Minyak dan Gas Bumi,JAKARTA,2022-12-09,KEPMEN ESDM,LL KESDM 2022 : 10 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Hulu Minyak dan Gas Bumi, Data, Pemanfaatan, Pelayanan, Keanggotaan, Nonanggota, Sistem, Pelaksanaan, Pedoman",Topik,Primary,Pedoman Pelaksanaan Sistem Keanggotaan dan Nonanggota Dalam Pelayanan Pemanfaatan Data Hulu Minyak dan Gas Bumi
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 287.K/HK.01/MEM.S/2022 tentang Tim Peningkatan Penggunaan Produk Dalam Negeri Dalam Pengadaan Barang/Jasa Pemerintah Di Lingkungan Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2349/detail,https://jdih.esdm.go.id/storage/document/Auto Color5027.pdf,,,Peraturan Perundang-undangan,2022,287.K/HK.01/MEM.S/2022,Umum,JAKARTA,2022-12-07,KEPMEN ESDM,LL KESDM 2022 : 9 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"PRODUK DALAM NEGERI, Penggunaan, TIM, PENINGKATAN, Pengadaan, Barang, Jasa, PEMERINTAH, Di Lingkungan, Kementerian, Energi dan Sumber Daya Mineral",Topik,Primary,Tim Peningkatan Penggunaan Produk Dalam Negeri Dalam Pengadaan Barang/Jasa Pemerintah Di Lingkungan Kementerian Energi dan Sumber Daya Mineral
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 23 K/30/MEM/2019 tentang Perubahan atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2022 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangn Khusus Periode Tahun 2018,https://jdih.esdm.go.id/index.php/web/result/2348/detail,https://jdih.esdm.go.id/storage/document/Kepmen 23 K 2019 - Perubahan Kepmen 1802 K 2018.pdf,Mengubah;,Mengubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2018 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Periode Tahun 2018,Peraturan Perundang-undangan,2019,23 K/30/MEM/2019,Mineral dan Batubara,JAKARTA,,KEPMEN ESDM,LL KESDM 2019 : 5 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Wilayah Izin Usaha Pertambangan (WIUP), Wilayah Izin Usaha Pertambangan Khusus (WIUPK), PERIODE, TAHUN 2018, PERUBAHAN PERTAMA",Topik,Primary,Perubahan atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2022 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangn Khusus Periode Tahun 2018
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 288.K/MB.01/MEM.B/2022 tentang Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan Desember Tahun 2022,https://jdih.esdm.go.id/index.php/web/result/2347/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No. 288.K-MB.01-MEM.B-2022.pdf,,,Peraturan Perundang-undangan,2022,288.K/MB.01/MEM.B/2022,Mineral dan Batubara,JAKARTA,2022-12-08,KEPMEN ESDM,LL KESDM 2022 : 10 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Mineral Logam Acuan, Batubara Acuan, Harga, Bulan Desember, tahun 2022",Topik,Primary,Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan Desember Tahun 2022
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 286.K/MB.04/MEM.B/2022 tentang Perubahan Kedua atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2018 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Periode Tahun 2018,https://jdih.esdm.go.id/index.php/web/result/2346/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No. 286.K-MB.04-MEM.B-2022.pdf,Mengubah;,Mengubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2018 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Periode Tahun 2018,Peraturan Perundang-undangan,2022,286.K/MB.04/MEM.B/2022,Mineral dan Batubara,JAKARTA,2022-12-07,KEPMEN ESDM,LL KESDM 2022 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Wilayah Izin Usaha Pertambangan (WIUP), Wilayah Izin Usaha Pertambangan Khusus (WIUPK), PERIODE, TAHUN 2018, Perubahan Kedua",Topik,Primary,Perubahan Kedua atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 1802 K/30/MEM/2018 tentang Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Periode Tahun 2018
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 267.K/MB.01/MEM.B/2022 tentang Pemenuhan Kebutuhan Batubara Dalam Negeri,https://jdih.esdm.go.id/index.php/web/result/2345/detail,https://jdih.esdm.go.id/storage/document/Keputusan Menteri ESDM Nomor 267 K MB 01 2022 Salinan Pemenuhan Batubara.pdf,Diubah;Mencabut;Mencabut,"Diubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 399.K/MB.01/MEM.B/2023 tentang Perubahan atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 267.K/MB.01/MEM.B/2022 tentang Pemenuhan Kebutuhan Batubara Dalaam Negeri; Mencabut Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 13.K/HK.021/MEM.S/2022 tentang Pedoman Pengenaan Sanksi Administratif, Pelarangan Penjualan Batubara Ke Luar Negeri dan Pengenaan Denda Serta Dana Kompensasi Pemenuhan Kebutuhan Batubara Dalam Negeri; Mencabut Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 139.K/HK.02/MEM.B/2021 tentang Pemenuhan Kebutuhan Batubara Dalam Negeri",Peraturan Perundang-undangan,2022,267.K/MB.01/MEM.B/2022,Mineral dan Batubara,JAKARTA,2022-11-21,KEPMEN ESDM,LL KESDM 2022 : 52 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Batubara, Pemenuhan, Kebutuhan, Dalam Negeri",Topik,Primary,Pemenuhan Kebutuhan Batubara Dalam Negeri
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 262.K/HK.02/MEM.S/2022 tentang Perubahan atasKeputusan Menteri Energi dan Sumber Daya Mineral Nomor 182.K/HK.02/MEM.S/2022 tentang Kelas Jabatan di Lingkungan Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2344/detail,https://jdih.esdm.go.id/storage/document/salinan Kepmen 262 Kelas Jabatan.pdf,Mengubah;,Mengubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 182.K/OT.01/MEM.S/2022 tentang Kelas Jabatan Di Lingkungan Kementerian Energi dan Sumber Daya Mineral,Peraturan Perundang-undangan,2022,262.K/HK.02/MEM.S/2022,Umum,Bekasi,2022-10-31,KEPMEN ESDM,LL KESDM 2022 : 10 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Kelas Jabatan, Di Lingkungan, Kementerian, Energi dan Sumber Daya Mineral, Perubahan",Topik,Primary,Perubahan atasKeputusan Menteri Energi dan Sumber Daya Mineral Nomor 182.K/HK.02/MEM.S/2022 tentang Kelas Jabatan di Lingkungan Kementerian Energi dan Sumber Daya Mineral
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 270.K/HK.01/MEM.S/2022 tentang Perubahan Ketiga atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 77 K/90/MEM.B/20219 tentang Objek Vital Nasional Bidang Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2343/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No. 270.K-HK.02-MEM.S-2022.pdf,Mengubah;,Mengubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 77 K/90/MEM/2019 tentang Objek Vital Nasional Bidang Energi dan Sumber Daya Mineral Catatan : Perubahan Ketiga,Peraturan Perundang-undangan,2022,270.K/HK.01/MEM.S/2022,Umum,JAKARTA,2022-11-22,KEPMEN ESDM,LL KESDM 2022 : 73 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Objek Vital Nasional, Bidang, Energi dan Sumber Daya Mineral, Perubahan Ketiga",Topik,Primary,Perubahan Ketiga atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 77 K/90/MEM.B/20219 tentang Objek Vital Nasional Bidang Energi dan Sumber Daya Mineral
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 13 Tahun 2022 tentang Bantuan Pelatihan dan Beasiswa Bidang Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2342/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM No. 13 Tahun 2021.pdf,Mencabut;,Mencabut Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 36 Tahun 2015 tentang Bantuan Pendidikan dan Pelatihan Serta Beasiswa Bidang Energi dan Sumber Daya Mineral,Peraturan Perundang-undangan,2022,13 Tahun 2022,Pendidikan dan Pelatihan ESDM,JAKARTA,2022-10-31,-,LL KESDM BN RI 2022 (1095) : 17 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Beasiswa, Pelatihan, Bantuan, Bidang, Energi dan Sumber Daya Mineral",Topik,Primary,Bantuan Pelatihan dan Beasiswa Bidang Energi dan Sumber Daya Mineral
"Putusan Mahmakah Konstitusi Nomor 37/PUU-XVIII/2020 Yayasan Penguatan Partisipasi, Inisiatif, dan Kemitraan Masyarakat Indonesia (YAAPPIKA), Dkk Vs Pemerintah RI",https://jdih.esdm.go.id/index.php/web/result/2341/detail,https://jdih.esdm.go.id/storage/document/23_putusan_mkri_8202_1635396311_UU32020.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, UU NOMOR 2 TAHUN 2020",Topik,Primary,
"Putusan Mahmakah Konstitusi Nomor 64/PUU-XVIII/2020 Dr. Drs. Helvis, S.Sos., M.H., Dkk Vs Pemerintah RI",https://jdih.esdm.go.id/index.php/web/result/2340/detail,https://jdih.esdm.go.id/storage/document/22_putusan_mkri_8194_UU32020.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, UU NOMOR 3 TAHUN 2020",Topik,Primary,
"Putusan Mahmakah Konstitusi Nomor 59/PUU-XVIII/2020 Kurniawan, S.IP., Dkk Vs Pemerintah RI",https://jdih.esdm.go.id/index.php/web/result/2339/detail,https://jdih.esdm.go.id/storage/document/21_putusan_mkri_8193_uu32020.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, UU NOMOR 3 TAHUN 2020",Topik,Primary,
"Putusan Mahmakah Konstitusi Nomor 60/PUU-XVIII/2020 Dr. H. Alirman Sori., S.H., M.Hum., M.M., Dkk Vs Pemerintah RI",https://jdih.esdm.go.id/index.php/web/result/2338/detail,https://jdih.esdm.go.id/storage/document/20_putusan_mkri_8192_uu32020.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, UU NOMOR 3 TAHUN 2020",Topik,Primary,
"Putusan Mahmakah Agung Nomor 38P/HUM/2020 Mohammad Rasyid Ridha, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2337/detail,https://jdih.esdm.go.id/storage/document/19_putusan_38_p_hum_2020_20221121115406.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PERMEN ESDM NOMOR 8 TAHUN 2020",Topik,Primary,
"Putusan Mahmakah Agung Nomor 75 P/HUM/2019 Ir. Nova Iriansyah, M.T. selaku Plt. Gubernur Aceh Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2336/detail,https://jdih.esdm.go.id/storage/document/18_Putusan 75_p_hum_2019_a.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PERMEN ESDM NOMOR 25 TAHUN 2015",Topik,Primary,
"Putusan Mahmakah Agung Nomor 27 P/HUM/2016 Aisya Aldila, Dkk Vs Presiden Republik Indonesia",https://jdih.esdm.go.id/index.php/web/result/2335/detail,https://jdih.esdm.go.id/storage/document/13_Putusan MA No. 27 Th 2016.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PERPRES RI  NOMOR 18 TAHUN 2016",Topik,Primary,
"Putusan Mahmakah Agung Nomor 69 P/HUM/2018 Arie Gumilar, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2334/detail,https://jdih.esdm.go.id/storage/document/16_putusan_69_p_hum_2018_20221121144426.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PASAL 2 PERMEN ESDM NOMOR 23 TAHUN 2018",Topik,Primary,
"Putusan Mahmakah Agung Nomor 21P/HUM/2018 Perseroan Terbatas Karya Murni Sejati 27, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2333/detail,https://jdih.esdm.go.id/storage/document/15_putusan_21_p_hum_2018_20221121144447.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PERATURAN MENTERI ENERGI DAN SUMBER DAYA MINERAL NOMOR 43 TAHUN 2015",Topik,Primary,
"Putusan Mahmakah Agung Nomor 28 P/HUM/2017 Yayasan Transparasi Sumber Daya Ekstraktif, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2332/detail,https://jdih.esdm.go.id/storage/document/14_PUTUSAN-MA-NO-28-P-HUM-2017-tentang-Uji-Materil-terhadap-PERMEN-ESDM-NO-5-dan-6-Tahun-2017.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL, PERATURAN MENTERI ENERGI DAN SUMBER DAYA MINERAL NOMOR 5 TAHUN 2017",Topik,Primary,
Putusan Mahmakah Konstitusi Nomor 84/PUU-XIV/2016 Ir. Indrawan Sastronagoro Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2331/detail,https://jdih.esdm.go.id/storage/document/13_84_PUU-XIV_2016_uuenergi.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
"Putusan Mahmakah Konstitusi Nomor 111/PUU-XIII/2015 Adri, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2330/detail,https://jdih.esdm.go.id/storage/document/12_111_PUU-XIII_2015_uulistrik.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
"Putusan Mahmakah Agung Nomor 44 P/HUM/2015 Taufik Hidayat, Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2329/detail,https://jdih.esdm.go.id/storage/document/11_putusan_44_p_hum_2015_20221121144721.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Agung Nomor 25 P/HUM/2015 PT Fajar Mentaya Abadi Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2328/detail,https://jdih.esdm.go.id/storage/document/10_putusan_25_p_hum_2015_20221121144801.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Agung Nomor 62 P/HUM/2014 Asosiasi Pertambangan Batubara Indonesia Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2327/detail,https://jdih.esdm.go.id/storage/document/9_putusan_62_p_hum_2014_20221121144801.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Agung Nomor 57 P/HUM/2014 Velisia PD Sitanggang Dkk Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2326/detail,https://jdih.esdm.go.id/storage/document/8_putusan_57_p_hum_2014_20221121144801.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Konstitusi Nomor 36/PUU-X/2012,https://jdih.esdm.go.id/index.php/web/result/2325/detail,https://jdih.esdm.go.id/storage/document/7_36-2012_uumigas (1).pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Konstitusi,Indonesia,Mahkamah Konstitusi,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
"Putusan Mahmakah Agung Nomor 27 P/HUM/2012 Alias Wello, S.IP., Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2324/detail,https://jdih.esdm.go.id/storage/document/6_putusan_27_p_hum_2012_20221121145033.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
"Putusan Mahmakah Agung Nomor 13 P/HUM/2012 Alias wello, S.IP., Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2323/detail,https://jdih.esdm.go.id/storage/document/5_putusan_13_p_hum_2012_20221121145039.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Agung Nomor 10 P/HUM/2012  Asosiasi Pemerintah Kabuaten Seluruh Indonesia Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2322/detail,https://jdih.esdm.go.id/storage/document/4_putusan_10_p_hum_2012_20221121143513.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, HAK UJI MATERIIL",Topik,Primary,
Putusan Mahmakah Agung Nomor 09 P/HUM/2012 Asosiasi Nikel Indonesia (ANI) Vs Menteri Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2321/detail,https://jdih.esdm.go.id/storage/document/3_putusan_09_p_hum_2012_20221121145051.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, UJI MATERIIL",Topik,Primary,
"Putusan Mahmakah Agung Nomor 58 P/HUM/2010 Dewan Pengurus Daerah Asosiasi Kontraktor Listrik dan Mekanikal (DPD-AKLI), Dkk Vs Menteri Energi dan Sumber Daya Mineral",https://jdih.esdm.go.id/index.php/web/result/2320/detail,https://jdih.esdm.go.id/storage/document/2_putusan_58_p_hum_2010_20221121145057.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, UJI MATERIIL",Topik,Primary,
"Putusan Mahkamah Agung Nomor 100 K/Pdt.Sus/2009 PT. Belgindo Vs Eko Budi Utama S., Dkk",https://jdih.esdm.go.id/index.php/web/result/2319/detail,https://jdih.esdm.go.id/storage/document/1_putusan_23p_hum_2009_20221121145103.pdf,,,Putusan Pengadilan,0,,Putusan Pengadilan,JAKARTA,,-,Mahkamah Agung,Indonesia,Mahkamah Agung,Badan Organisasi,Pengarang Utama,"PELANGGARAN ADMINISTRASI, PEMBAYARAN UPAH",Topik,Primary,
"Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 266.K/MB.01/MEM.B/2022 tentang Pedoman Permohonan, Evaluasi, dan Pemrosesan Perluasan Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Dalam Rangka Konservasi Mineral dan Batubara",https://jdih.esdm.go.id/index.php/web/result/2317/detail,https://jdih.esdm.go.id/storage/document/Kepmen Nomor 266.K.MB.01.MEM.B.2022.pdf,Dicabut;,"Dicabut Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 375.K/MB.01/MEM.B/2023 tentang Pedoman Permohonan Evaluasi, dan Pemrosesan Perluasan Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Dalam Rangka Konservasi Mineral dan Batubara",Peraturan Perundang-undangan,2022,266.K/MB.01/MEM.B/2022,Mineral dan Batubara,JAKARTA,2022-11-10,KEPMEN ESDM,LL KESDM 2022 : 48 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Mineral dan Batubara, Wilayah Izin Usaha Pertambangan (WIUP), Wilayah Izin Usaha Pertambangan Khusus (WIUPK), Konservasi, Pedoman, Permohonan, Evaluasi, Pemrosesan, Perluasan",Topik,Primary,"Pedoman Permohonan, Evaluasi, dan Pemrosesan Perluasan Wilayah Izin Usaha Pertambangan dan Wilayah Izin Usaha Pertambangan Khusus Dalam Rangka Konservasi Mineral dan Batubara"
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 173.K/DI.03/MEM.S/2022 tentang Penyelenggaraan Sistem Pemerintahan Berbasis Elektronik di Lingkungan Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2316/detail,https://jdih.esdm.go.id/storage/document/Keputusan Menteri Nomor 173.K.DI.03.MEM.S.2022.pdf,,,Peraturan Perundang-undangan,2022,173.K/DI.03/MEM.S/2022,Umum,JAKARTA,2022-07-14,KEPMEN ESDM,LL KESDM 2022 : 42 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK, SPBE, Di Lingkungan, Kementerian Energi dan Sumber Daya Mineral",Topik,Primary,Penyelenggaraan Sistem Pemerintahan Berbasis Elektronik di Lingkungan Kementerian Energi dan Sumber Daya Mineral
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 264.K/MB.01/MEM.B/2022 tentang Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan November Tahun 2022,https://jdih.esdm.go.id/index.php/web/result/2315/detail,https://jdih.esdm.go.id/storage/document/264.K.MB.01.MEM.B.2022 HBA-HMA November 2022 Salinan.pdf,,,Peraturan Perundang-undangan,2022,264.K/MB.01/MEM.B/2022,Mineral dan Batubara,JAKARTA,2022-11-04,KEPMEN ESDM,LL KESDM 2022 : 11 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Mineral Logam Acuan, Batubara Acuan, Harga, Bulan November, tahun 2022",Topik,Primary,Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan November Tahun 2022
