Judul,Link,Link_PDF,Status,Keterangan_Status,Tipe Dokumen,Tahun Terbit,Nomor Peraturan,Bidang Hukum,Tempat Penetapan,Tanggal Penetapan / Pengundangan,Singkatan Jenis / Bentuk Peraturan,Sumber,Bahasa,Nama Pengarang,Tipe Pengarang,Jenis Pengarang,Kata Kunci,Tipe Kata Kunci,Jenis Kata Kunci,Isi UU
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 9 Tahun 2024 tentang Organisasi dan Tata Kerja Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2471/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM Nomor 9 Tahun 2024.pdf,Mencabut;,Mencabut Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 15 Tahun 2021 tentang Organisasi dan Tata Kerja Kementerian Energi dan Sumber Daya Mineral,Peraturan Perundang-undangan,2024,9 Tahun 2024,Umum,JAKARTA,2024-07-23,PERMEN,BN 2024 (414) : 73 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Organisasi dan Tata Kerja, Kementerian Energi dan Sumber Daya Mineral",Topik,Primary,Organisasi dan Tata Kerja Kementerian Energi dan Sumber Daya Mineral
Peraturan Presiden Republik Indonesia Nomor 77 Tahun 2024 tentang Percepatan Pembangunan dan Pengelolaan Fasilitas Persemaian Pada Kegiatan Usaha Pertambangan Mineral dan Batubara,https://jdih.esdm.go.id/index.php/web/result/2470/detail,https://jdih.esdm.go.id/storage/document/Perpres Nomor 77 Tahun 2024.pdf,,,Peraturan Perundang-undangan,2024,77 Tahun 2024,Mineral dan Batubara,JAKARTA,2024-08-05,PERPRES,"LN 2024/NO. 136,  LL SETNEG : 8 HLM",Indonesia,Indonesia.Presiden,Badan Organisasi,Pengarang Utama,"Pertambangan, Mineral dan Batubara, Kegiatan Usaha, Fasilitas, Persemaian, Pengelolaan, Pembangunan, Percepatan",Topik,Primary,Percepatan Pembangunan dan Pengelolaan Fasilitas Persemaian Pada Kegiatan Usaha Pertambangan Mineral dan Batubara
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 11 Tahun 2024 Tentang Penggunaan Produk Dalam Negeri Untuk Pembangunan Infrastruktur Ketenagalistrikan,https://jdih.esdm.go.id/index.php/web/result/2469/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM Nomor 11 Tahun 2024.pdf,,,Peraturan Perundang-undangan,2024,11 Tahun 2024,Ketenagalistrikan,JAKARTA,2024-07-31,PERMEN,BN 2024 (443) : 13 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Ketenagalistrikan, Infrastruktur, Pembangunan, PRODUK DALAM NEGERI, Penggunaan",Topik,Primary,Penggunaan Produk Dalam Negeri Untuk Pembangunan Infrastruktur Ketenagalistrikan
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 10 Tahun 2024 Tentang Perubahan Kedua atas Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 20 Tahun 2021 Tentang Perhitungan Harga Jual Eceran Bahan Bakar Minyak,https://jdih.esdm.go.id/index.php/web/result/2468/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM Nomor 10 Tahun 2024.pdf,Mengubah;,Mengubah Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 20 Tahun 2021 tentang Perhitungan Harga Jual Eceran Bahan Bakar Minyak,Peraturan Perundang-undangan,2024,10 Tahun 2024,Minyak dan Gas Bumi,JAKARTA,2024-08-25,PERMEN,BN 2024 (442) : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Bahan Bakar Minyak, Harga, Jual, Eceran, Perhitungan",Topik,Primary,Perubahan Kedua atas Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 20 Tahun 2021 Tentang Perhitungan Harga Jual Eceran Bahan Bakar Minyak
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 8 Tahun 2024 Tentang Perubahan atas Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 1 Tahun 2019 Tentang Tata Cra Pelaksanaan Hibah Barang Milik Negara di Lingkungan Kementerian Energi dan Sumber Daya Mineral Yang Dari Sejak Awal Pengadaannya Direncanakan Untuk Dihibahkan,https://jdih.esdm.go.id/index.php/web/result/2467/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM Nomor 8 Tahun 2024 tentang Perubahan Permen Hibah BMN.pdf,Mengubah;,Mengubah Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 1 Tahun 2019 Tentang Cara Pelaksanaan Hibah Barang Milik Negara Di Lingkungan Kementerian Energi dan Sumber Daya Mineral Yang Dari Sejak Awal Pengadaannya Direncanakan Untuk Dihibahkan,Peraturan Perundang-undangan,2024,8 Tahun 2024,Himpunan Peraturan,JAKARTA,2024-06-26,PERMEN,BN 2024 (384) : 12 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Hibah, Barang Milik Negara, Kementerian, Energi dan Sumber Daya Mineral, Perubahan, Peraturan Menteri ESDM Nomor 1 Tahun 2019",Topik,Primary,Perubahan atas Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 1 Tahun 2019 Tentang Tata Cra Pelaksanaan Hibah Barang Milik Negara di Lingkungan Kementerian Energi dan Sumber Daya Mineral Yang Dari Sejak Awal Pengadaannya Direncanakan Untuk Dihibahkan
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 110.K/MG.01/MEM.M/2024 tentang Pedoman Pengembalian Bagian Wilayah Kerja Potensial Yang Tidak Diusahakan Dalam Rangka Optimalisasi Produksi Minyak dan Gas Bumi,https://jdih.esdm.go.id/index.php/web/result/2466/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 110_K_MG_01_MEM_M_2024.pdf,,,Peraturan Perundang-undangan,2024,110.K/MG.01/MEM.M/2024,Minyak dan Gas Bumi,JAKARTA,2024-05-21,KEPMEN,LL KESDM 2024 : 5 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,Data tidak tersedia,,,Pedoman Pengembalian Bagian Wilayah Kerja Potensial Yang Tidak Diusahakan Dalam Rangka Optimalisasi Produksi Minyak dan Gas Bumi
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 149.K/MB.01/MEM.B/2024 tentang Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Kepulauan Bangka Belitung,https://jdih.esdm.go.id/index.php/web/result/2465/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 149_K_MB_01_MEM_B_2024.pdf,,,Peraturan Perundang-undangan,2024,149.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-06-26,KEPMEN,LL KESDM 2024  : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,Data tidak tersedia,,,Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Kepulauan Bangka Belitung
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 150.K/MB.01/MEM.B/2024 tentang Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Sulawesi Tengah,https://jdih.esdm.go.id/index.php/web/result/2464/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 150_K_MB_01_MEM_B_2024.pdf,,,Peraturan Perundang-undangan,2024,150.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-06-26,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,Data tidak tersedia,,,Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Sulawesi Tengah
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 153.K/MB.01/MEM.B/2024 tentang Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Sumatera Utara,https://jdih.esdm.go.id/index.php/web/result/2463/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 153_K_MB_01_MEM_B_2024.pdf,,,Peraturan Perundang-undangan,2024,153.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-06-26,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,Data tidak tersedia,,,Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Sumatera Utara
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 152.K/MB.01/MEM.B/2024 tentang Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Riau,https://jdih.esdm.go.id/index.php/web/result/2462/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 152_K_MB_01_MEM_B_2024.pdf,,,Peraturan Perundang-undangan,2024,152.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-06-26,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,Data tidak tersedia,,,Dokumen Pengelolaan Wilayah Pertambangan Rakyat Pada Provinsi Riau
